roc_auc,avg_precision,f1,error_rate
0.9795918367346939,0.8888888888888888,0.9333333333333333,0.0025
0.9502220577350111,0.8426766749498201,0.7857142857142857,0.015
0.9784996494508063,0.9187996469549867,0.9523809523809523,0.0025
1.0,1.0,1.0,0.0
0.9151282051282053,0.8847680343255565,0.8888888888888888,0.005
1.0,1.0,1.0,0.0
1.0,1.0,0.9523809523809523,0.0025
0.866593965830607,0.859816653934301,0.9230769230769231,0.0025
0.9934640522875817,0.9201388888888888,0.9411764705882353,0.0025
0.8,0.8025,0.8888888888888888,0.0025
0.9994448556624722,0.985969387755102,0.8888888888888888,0.0075
0.9712549661135779,0.9165535956580733,0.9523809523809523,0.0025
1.0,1.0,0.9565217391304348,0.0025
1.0,1.0,0.96,0.0025
0.9912758996728462,0.8894009216589862,0.8571428571428571,0.005
0.9376627604166666,0.9400062656641603,0.967741935483871,0.0025
0.9575892857142857,0.8820921985815603,0.875,0.005
0.9084615384615384,0.902724795640327,0.8888888888888888,0.005
0.9429298436932025,0.8276014109347443,0.8,0.0075
1.0,1.0,0.96,0.0025
0.9234744583581793,0.8560541021478522,0.9166666666666666,0.005
0.9598138747884941,0.8432343234323433,0.9090909090909091,0.0025
1.0,1.0,1.0,0.0
0.8463010204081632,0.6952563447453586,0.7692307692307693,0.0075
1.0,1.0,1.0,0.0
0.9756952559009114,0.9027889514615178,0.8181818181818182,0.01
1.0,1.0,1.0,0.0
0.9998012323593719,0.9945054945054945,0.9230769230769231,0.005
0.9997158283603296,0.9888888888888889,0.9473684210526315,0.0025
1.0,1.0,1.0,0.0
0.9380088823094005,0.926342950973493,0.8888888888888888,0.0075
1.0,1.0,1.0,0.0
0.9936009307737056,0.9605734767025089,0.9714285714285714,0.0025
0.9974293059125965,0.9545454545454546,0.9523809523809523,0.0025
1.0,1.0,0.9090909090909091,0.0025
1.0,1.0,0.9090909090909091,0.005
1.0,1.0,1.0,0.0
0.7478382799719561,0.3950597986185813,0.37037037037037035,0.0425
0.9619298906897851,0.5629036244920929,0.17391304347826086,0.0475
1.0,1.0,0.9375,0.005
1.0,1.0,0.9655172413793104,0.0025
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
0.9989473684210526,0.9804294827979039,0.9090909090909091,0.01
1.0,1.0,0.9285714285714286,0.005
0.9961050383213971,0.9716117216117216,0.975609756097561,0.0025
1.0,1.0,1.0,0.0
1.0,1.0,0.975609756097561,0.0025
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
0.9994448556624722,0.9873949579831933,0.9629629629629629,0.0025
1.0,1.0,1.0,0.0
0.9754231770833333,0.9434880239520959,0.967741935483871,0.0025
0.9998618593728416,0.9973684210526316,0.972972972972973,0.0025
0.9998268398268398,0.9958333333333333,0.9333333333333333,0.005
0.9997435897435898,0.9909090909090909,0.9473684210526315,0.0025
0.9972172530312065,0.9556213017751479,0.9166666666666666,0.005
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
0.9982051282051282,0.9588235294117647,0.9473684210526315,0.0025
0.9998684210526315,0.9976190476190476,0.975609756097561,0.0025
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
0.9577489177489178,0.9371943371943372,0.9655172413793104,0.0025
1.0,1.0,0.9473684210526315,0.0025
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,0.972972972972973,0.0025
1.0,1.0,1.0,0.0
1.0,1.0,0.9629629629629629,0.0025
1.0,1.0,1.0,0.0
0.9997852233676976,0.9935897435897435,0.9166666666666666,0.005
0.9912455843956381,0.9546899841017489,0.9696969696969697,0.0025
0.8115384615384615,0.6762100888043082,0.631578947368421,0.0175
0.9378188775510203,0.8033715966774343,0.7,0.015
0.9722938144329898,0.7643254494547598,0.7,0.015
0.9542525773195877,0.8502023915626857,0.8571428571428571,0.0075
0.9137675795706883,0.6909125893524173,0.6956521739130435,0.0175
0.9737955729166666,0.7813925567625705,0.75,0.02
0.9282051282051282,0.6575392505033224,0.631578947368421,0.0175
0.9811255411255412,0.8491444898228049,0.75,0.015
0.9029443838604143,0.7685081637217626,0.7142857142857143,0.01
1.0,1.0,0.8571428571428571,0.005
0.9989094874591058,0.9571428571428572,0.8,0.0075
0.9688311688311688,0.8398449780672002,0.7741935483870968,0.0175
0.9306069578090304,0.8347565680977335,0.8275862068965517,0.0125
0.96,0.7671900161030596,0.7777777777777778,0.01
0.9888392857142857,0.8089526214526214,0.7058823529411765,0.0125
0.9813845258871438,0.8466490901826738,0.8125,0.015
0.9873593073593073,0.9145679012345678,0.8888888888888888,0.0075
0.9289743589743591,0.7301688435021769,0.7,0.015
0.9803921568627451,0.866111111111111,0.8,0.01
0.9021645021645022,0.7305023801988554,0.6666666666666666,0.0225
0.9280162842339008,0.778865607947126,0.7407407407407407,0.0175
0.9294374875770225,0.7629485867046617,0.6923076923076923,0.02
0.9846052631578947,0.9471590909090908,0.8780487804878049,0.0125
0.9807692307692308,0.7976576576576577,0.7368421052631579,0.0125
0.9882051282051282,0.9178571428571429,0.9473684210526315,0.0025
