roc_auc,avg_precision,f1,error_rate
0.9795918367346939,0.8888888888888888,0.9333333333333333,0.0025
0.9502220577350111,0.8426766749498201,0.7857142857142857,0.015
0.9784996494508063,0.9187996469549867,0.9523809523809523,0.0025
1.0,1.0,1.0,0.0
0.9151282051282053,0.8847680343255565,0.8888888888888888,0.005
1.0,1.0,1.0,0.0
1.0,1.0,0.9523809523809523,0.0025
0.866593965830607,0.859816653934301,0.9230769230769231,0.0025
0.9934640522875817,0.9201388888888888,0.9411764705882353,0.0025
0.8,0.8025,0.8888888888888888,0.0025
0.9994448556624722,0.985969387755102,0.8888888888888888,0.0075
0.9712549661135779,0.9165535956580733,0.9523809523809523,0.0025
1.0,1.0,0.9565217391304348,0.0025
1.0,1.0,0.96,0.0025
0.9912758996728462,0.8894009216589862,0.8571428571428571,0.005
0.9376627604166666,0.9400062656641603,0.967741935483871,0.0025
0.9575892857142857,0.8820921985815603,0.875,0.005
0.9084615384615384,0.902724795640327,0.8888888888888888,0.005
0.9429298436932025,0.8276014109347443,0.8,0.0075
1.0,1.0,0.96,0.0025
0.9234744583581793,0.8560541021478522,0.9166666666666666,0.005
0.9598138747884941,0.8432343234323433,0.9090909090909091,0.0025
1.0,1.0,1.0,0.0
0.8463010204081632,0.6952563447453586,0.7692307692307693,0.0075
1.0,1.0,1.0,0.0
0.9756952559009114,0.9027889514615178,0.8181818181818182,0.01
1.0,1.0,1.0,0.0
0.9998012323593719,0.9945054945054945,0.9230769230769231,0.005
0.9997158283603296,0.9888888888888889,0.9473684210526315,0.0025
1.0,1.0,1.0,0.0
0.9380088823094005,0.926342950973493,0.8888888888888888,0.0075
1.0,1.0,1.0,0.0
0.9936009307737056,0.9605734767025089,0.9714285714285714,0.0025
0.9974293059125965,0.9545454545454546,0.9523809523809523,0.0025
1.0,1.0,0.9090909090909091,0.0025
1.0,1.0,0.9090909090909091,0.005
1.0,1.0,1.0,0.0
0.7478382799719561,0.3950597986185813,0.37037037037037035,0.0425
0.5121246387737153,0.05243971170785179,0.0,0.08
0.4912554112554113,0.03687618207042499,0.0,0.075
0.4981495188749075,0.037705880452603924,0.0,0.0675
0.40012886597938147,0.02787795345984382,0.0,0.0725
0.46451425247236766,0.04656271454399949,0.0,0.0825
0.42934210526315786,0.043214490742990025,0.0,0.0825
0.4516000795070563,0.03038734088205794,0.0,0.065
0.43598442015328553,0.04473774430714836,0.0,0.0775
0.4671781756180733,0.03403540123725672,0.1111111111111111,0.04
0.46394736842105266,0.04562331199640068,0.0,0.095
0.3294871794871795,0.01901833076072073,0.0,0.06
0.5426501519046507,0.0451819331170429,0.08695652173913043,0.0525
0.39877835951134377,0.03816627516844076,0.0,0.0825
0.4515173945225759,0.03278980791721138,0.0,0.065
0.2795347146492185,0.01311015641075755,0.0,0.0725
0.5450846354166666,0.05547731957004445,0.0,0.065
0.40516645945572594,0.04021609911259254,0.0,0.0825
0.3677922077922078,0.029336217571067955,0.0,0.0725
0.30128205128205127,0.01857754045968158,0.0,0.06
0.4682965613198171,0.04406691682267609,0.07407407407407407,0.0625
0.3749074759437454,0.028116300660309124,0.0,0.085
0.3239133773613884,0.03199725822897339,0.0,0.0825
0.36820512820512824,0.02024835831010073,0.0,0.065
0.25153846153846154,0.017379793719406626,0.0,0.05
0.40815789473684216,0.043861176176123604,0.058823529411764705,0.08
0.3732145599754262,0.03380055820000423,0.0,0.08
0.3868018286622938,0.02656980312209162,0.0,0.0525
0.4477922077922078,0.034190950645631685,0.0,0.0675
0.2782040352372833,0.01702655646766989,0.0,0.055
0.4024914089347079,0.025493105851687077,0.0,0.055
0.42289473684210527,0.04235209827270324,0.0,0.09
0.2886852821407795,0.031078801924494207,0.0,0.0775
0.4486607142857143,0.0239148911892602,0.0,0.065
0.30550586364539856,0.023308603364582847,0.0,0.0825
0.5277067348678601,0.028644430544266294,0.0,0.0675
0.35803264604810997,0.023554186557048898,0.0,0.065
0.49132237751497465,0.04311568833701822,0.0,0.0775
0.7012820512820512,0.07121658945553491,0.0,0.0425
0.6479591836734693,0.041377276708474076,0.0,0.03
0.5650773195876289,0.13220277768507993,0.19047619047619047,0.0425
0.6297250859106529,0.06377427605742078,0.0,0.0375
0.7340858623242043,0.19944277212696346,0.2222222222222222,0.035
0.7109375,0.08284397094949386,0.0,0.055
0.4658974358974359,0.047169704978110016,0.11764705882352941,0.0375
0.5208658008658008,0.04427230649743048,0.0,0.05
0.6873864049436569,0.1065402987496671,0.0,0.0225
0.6535532994923858,0.023370430652607316,0.0,0.0225
0.7742639040348964,0.04986901456480243,0.0,0.025
0.6706493506493506,0.09276652671646017,0.11764705882352941,0.0375
0.6534048852701703,0.06463876920220739,0.0,0.05
0.6330769230769231,0.03777296498165949,0.0,0.0375
0.6068239795918368,0.149149263209484,0.18181818181818182,0.0225
0.6099476439790577,0.06629213011339583,0.0,0.055
0.7305627705627706,0.10800425860313516,0.10526315789473684,0.0425
0.5941025641025641,0.040278609523119,0.0,0.035
0.6479113384484229,0.04500786832128882,0.0,0.035
0.593939393939394,0.06833105478314258,0.0,0.0375
0.6528497409326425,0.05808465288687465,0.0,0.0475
0.6402305704631287,0.06737366831591847,0.0,0.0375
0.5977631578947369,0.06877699621309595,0.0,0.06
0.6225641025641026,0.06018898275567884,0.0,0.0325
0.536923076923077,0.030780081704177495,0.0,0.0325
